"zero.receive.level","actual.receive.level","source.level","distance","Sound.type","time","date","magic.x","noise.level","ExcessAttenuation","habitat","playback.num","dBdoubledist","Call.category"
-21.8007997200472,49.964851061632,0,100,"2_Pmor_P4",200,20190812,-21.8007997200472,32.1484074566509,1.8007997200472,"MS","87",-6.56269464519713,"Pmor"
-38.2628605581602,33.502790223519,0,250,"2_Pmor_P4",1621,20190811,-27.3708888226954,32.33769469378,10.2628605581602,"MS","87",-8.23945854361531,"Pmor"
-49.8574348801097,21.9082159015695,0,500,"2_Pmor_P4",1521,20190811,-29.3456828271637,32.6149164155968,-16.1425651198903,"MS","87",-8.83393077421765,"Pmor"
-22.1759599356084,48.6703754168679,0,100,"2_Pmor_P5",200,20190812,-22.1759599356084,32.2437735757815,2.1759599356084,"MS","87",-6.67562912326082,"Pmor"
-37.7407891132495,33.1055462392268,0,250,"2_Pmor_P5",1621,20190811,-26.9974311337588,32.2545047342524,9.74078911324951,"MS","87",-8.12703657713404,"Pmor"
-51.7914805621096,19.0548547903667,0,500,"2_Pmor_P5",1521,20190811,-30.4840464692903,32.6118524446756,-14.2085194378904,"MS","87",-9.17661237647107,"Pmor"
-23.4256660812209,52.3222079679227,0,100,"2_Pmor_P6",200,20190812,-23.4256660812209,32.6699028074558,3.4256660812209,"MS","87",-7.0518281588558,"Pmor"
-38.116798102571,37.6310759465726,0,250,"2_Pmor_P6",1621,20190811,-27.2664047570824,32.7991810838928,10.116798102571,"MS","87",-8.20800570579686,"Pmor"
-54.5803384997248,21.1675355494188,0,500,"2_Pmor_P6",1521,20190811,-32.125545689699,33.0933140933065,-11.4196615002752,"MS","87",-9.67075287967311,"Pmor"
-23.1661437146973,48.9744672680437,0,100,"2_Pmor_P7",200,20190812,-23.1661437146973,33.3395475535478,3.16614371469729,"MS","87",-6.97370414198649,"Pmor"
-38.2400817480631,33.9005292346779,0,250,"2_Pmor_P7",1621,20190811,-27.354594267882,33.3458476817028,10.2400817480631,"MS","87",-8.2345533938505,"Pmor"
-51.8070727469218,20.3335382358192,0,500,"2_Pmor_P7",1521,20190811,-30.4932239031311,33.6964756893359,-14.1929272530782,"MS","87",-9.17937505934036,"Pmor"
-22.0284276286632,45.3342307396312,0,100,"2_Pmor_P8",200,20190812,-22.0284276286632,33.5462327430939,2.0284276286632,"MS","87",-6.63121747354081,"Pmor"
-40.2642988685361,27.0983594997583,0,250,"2_Pmor_P8",1621,20190811,-28.8025942592378,33.5258704366976,12.2642988685361,"MS","87",-8.67044482496977,"Pmor"
-46.1110186606904,21.251639707604,0,500,"2_Pmor_P8",1521,20190811,-27.1405725486668,33.9375552437956,-19.8889813393096,"MS","87",-8.17012643664312,"Pmor"
-22.734362170533,44.3370025269052,0,100,"2_Pmor_P9",200,20190812,-22.734362170533,34.7471365606945,2.734362170533,"MS","87",-6.84372494561893,"Pmor"
