"","zero.receive.level","actual.receive.level","source.level","distance","Sound.type","time","date","magic.x","noise.level","ExcessAttenuation","habitat","playback.num","dBdoubledist","Loc_Name","ARU_ID","Call.category"
"972",-34.9541682634144,21.026542389006,0,500,"2_Pmor_P9",1342,20190808,-20.5737406629936,34.5994642311337,-31.0458317365856,"LP","68",-6.19331306257284,"3 (S4A07867)","S00974","Pmor"
"973",-18.8440872193466,39.202893191893,0,100,"2_Pmor_P10",1642,20190808,-18.8440872193466,35.0133057283475,-1.1559127806534,"LP","68",-5.67263549393159,"3 (S4A07867)","S00974","Pmor"
"974",-35.5031717556258,22.5438086556138,0,250,"2_Pmor_P10",1542,20190808,-25.3967777840136,34.7329645636969,7.5031717556258,"LP","68",-7.64519190620071,"3 (S4A07867)","S00974","Pmor"
"975",-36.7637685194298,21.2832118918098,0,500,"2_Pmor_P10",1342,20190808,-21.6388567341409,34.5994642311337,-29.2362314805702,"LP","68",-6.51394494885194,"3 (S4A07867)","S00974","Pmor"
"976",-24.0259369664508,44.6711336881792,0,100,"2_Halbstart",1642,20190808,-24.0259369664508,33.1665884960517,4.0259369664508,"LP","68",-7.23252770083377,"3 (S4A07867)","S00974","Halbstart"
"977",-48.6339309197287,20.0631397349013,0,250,"2_Halbstart",1542,20190808,-34.7897124469083,32.7289852955777,20.6339309197287,"LP","68",-10.472746987044,"3 (S4A07867)","S00974","Halbstart"
"978",-55.6336299320241,13.0634407226059,0,500,"2_Halbstart",1342,20190808,-32.745504505694,32.7197663921229,-10.3663700679759,"LP","68",-9.85737907936395,"3 (S4A07867)","S00974","Halbstart"
"979",-30.3803870595931,44.0362532382308,0,100,"2_Halbpeak",1642,20190808,-30.3803870595931,32.4454700298115,10.3803870595931,"LP","68",-9.14540778481938,"3 (S4A07867)","S00974","Halbpeak"
"980",-52.924980909684,21.4916593881399,0,250,"2_Halbpeak",1542,20190808,-37.8592647619834,32.0378609046522,24.924980909684,"LP","68",-11.3967743071414,"3 (S4A07867)","S00974","Halbpeak"
"981",-64.5253742216707,9.89126607615318,0,500,"2_Halbpeak",1342,20190808,-37.9791132609714,32.1341564492739,-1.47462577832928,"LP","68",-11.4328523002721,"3 (S4A07867)","S00974","Halbpeak"
