"recorder","Selection","View","Channel","Begin.Time..s.","End.Time..s.","Low.Freq..Hz.","High.Freq..Hz.","Delta.Time..s.","Inband.Power..dB.FS.","SNR.NIST.Quick..dB.FS.","Sound.Type","file.name","lon","lat","date","time","PowerDb","NoisevalueDb","target.signal"
"M1",90,"Spectrogram 1",1,2398.483322,2405.676599,589.6,1381.6,7.1933,-32,15.11,"3_Halbstart","M1_20190823_104005",116.971518,4.743234012,20190823,1040,63.89698234,55.42776261,"y"
"M1",91,"Spectrogram 1",1,2405.844863,2410.514184,748.9,1593.5,4.6693,-26.88,20.86,"3_Halbpeak","M1_20190823_104005",116.971518,4.743234012,20190823,1040,70.31828002,48.581175,"y"
"M1",92,"Spectrogram 1",1,2410.901442,2413.909157,358.5,900.3,3.0077,-35.9,12.59,"3_Halbend","M1_20190823_104005",116.971518,4.743234012,20190823,1040,60.06706868,51.82067076,"y"
"M1",9,"Spectrogram 1",1,1040.686219,1045.174902,580,1080.8,4.4887,-27.46,23.01,"1_Hfunstart","M1_20190823_132007",116.971518,4.743234012,20190823,1320,70.39328717,51.57026777,"y"
"M1",12,"Spectrogram 1",1,1045.219519,1052.016279,580,1526.5,6.7968,-30.04,23.75,"1_Hfuntrill","M1_20190823_132007",116.971518,4.743234012,20190823,1320,67.69229139,50.15464807,"y"
"M1",22,"Spectrogram 1",1,1107.633322,1114.826599,589.6,1381.6,7.1933,-32.76,15.02,"1_Halbstart","M1_20190823_132007",116.971518,4.743234012,20190823,1320,62.11514991,56.54989037,"y"
"M1",23,"Spectrogram 1",1,1114.994863,1119.664184,748.9,1593.5,4.6693,-28.41,20.2,"1_Halbpeak","M1_20190823_132007",116.971518,4.743234012,20190823,1320,68.85812799,49.39291356,"y"
"M1",24,"Spectrogram 1",1,1120.051442,1123.059157,358.5,900.3,3.0077,-34.32,12.64,"1_Halbend","M1_20190823_132007",116.971518,4.743234012,20190823,1320,62.33883654,51.50216866,"y"
"M1",43,"Spectrogram 1",1,1190.155219,1194.643902,580,1080.8,4.4887,-27.48,23.21,"2_Hfunstart","M1_20190823_132007",116.971518,4.743234012,20190823,1320,70.30670604,52.01225663,"y"
"M1",46,"Spectrogram 1",1,1194.688519,1201.485279,580,1526.5,6.7968,-30.04,23.43,"2_Hfuntrill","M1_20190823_132007",116.971518,4.743234012,20190823,1320,67.63323782,50.91116334,"y"
"M1",56,"Spectrogram 1",1,1257.102322,1264.295599,589.6,1381.6,7.1933,-32.72,15.22,"2_Halbstart","M1_20190823_132007",116.971518,4.743234012,20190823,1320,62.40746702,55.93205249,"y"
"M1",57,"Spectrogram 1",1,1264.463863,1269.133184,748.9,1593.5,4.6693,-28.6,20.6,"2_Halbpeak","M1_20190823_132007",116.971518,4.743234012,20190823,1320,68.52310413,50.56441143,"y"
"M1",58,"Spectrogram 1",1,1269.520442,1272.528157,358.5,900.3,3.0077,-34.14,13.01,"2_Halbend","M1_20190823_132007",116.971518,4.743234012,20190823,1320,62.71344425,51.21223215,"y"
"M1",77,"Spectrogram 1",1,1339.586219,1344.074902,580,1080.8,4.4887,-27.4,23.12,"3_Hfunstart","M1_20190823_132007",116.971518,4.743234012,20190823,1320,70.48842455,51.31120821,"y"
"M1",80,"Spectrogram 1",1,1344.119519,1350.916279,580,1526.5,6.7968,-30.03,23.4,"3_Hfuntrill","M1_20190823_132007",116.971518,4.743234012,20190823,1320,67.66579796,50.57873477,"y"
