"recorder","Selection","View","Channel","Begin.Time..s.","End.Time..s.","Low.Freq..Hz.","High.Freq..Hz.","Delta.Time..s.","Inband.Power..dB.FS.","SNR.NIST.Quick..dB.FS.","Sound.Type","file.name","lon","lat","date","time","PowerDb","NoisevalueDb","target.signal"
"M1",58,"Spectrogram 1",1,2261.470441759,2264.478157259,358.5,900.3,3.0077,-36.09,12.73,"2_Halbend","M1_20190823_104005",116.971518024802,4.74323401227593,20190823,1040,59.6346666910114,52.1628194674038,"y"
"M1",77,"Spectrogram 1",1,2331.536218779,2336.024901599,580,1080.8,4.4887,-28.58,23.56,"3_Hfunstart","M1_20190823_104005",116.971518024802,4.74323401227593,20190823,1040,69.3711626773898,49.6309971627655,"y"
"M1",80,"Spectrogram 1",1,2336.069519279,2342.866279029,580,1526.5,6.7968,-29.19,23.89,"3_Hfuntrill","M1_20190823_104005",116.971518024802,4.74323401227593,20190823,1040,68.6637546426633,50.5544633313183,"y"
"M1",90,"Spectrogram 1",1,2398.483321659,2405.676599259,589.6,1381.6,7.1933,-32,15.11,"3_Halbstart","M1_20190823_104005",116.971518024802,4.74323401227593,20190823,1040,65.1543165685236,50.8010897741877,"y"
"M1",91,"Spectrogram 1",1,2405.844863059,2410.514183659,748.9,1593.5,4.6693,-26.88,20.86,"3_Halbpeak","M1_20190823_104005",116.971518024802,4.74323401227593,20190823,1040,70.3064329564677,48.7245851133279,"y"
"M1",92,"Spectrogram 1",1,2410.901441759,2413.909157259,358.5,900.3,3.0077,-35.9,12.59,"3_Halbend","M1_20190823_104005",116.971518024802,4.74323401227593,20190823,1040,59.9756498506983,52.0525501745605,"y"
"M1",9,"Spectrogram 1",1,1040.686218779,1045.174901599,580,1080.8,4.4887,-27.46,23.01,"1_Hfunstart","M1_20190823_132007",116.971518024802,4.74323401227593,20190823,1320,70.6188741315295,49.3026213534589,"y"
"M1",12,"Spectrogram 1",1,1045.219519279,1052.016279029,580,1526.5,6.7968,-30.04,23.75,"1_Hfuntrill","M1_20190823_132007",116.971518024802,4.74323401227593,20190823,1320,67.6640098080942,50.3647432397533,"y"
"M1",22,"Spectrogram 1",1,1107.633321659,1114.826599259,589.6,1381.6,7.1933,-32.76,15.02,"1_Halbstart","M1_20190823_132007",116.971518024802,4.74323401227593,20190823,1320,63.8243541699521,51.9265457619455,"y"
"M1",23,"Spectrogram 1",1,1114.994863059,1119.664183659,748.9,1593.5,4.6693,-28.41,20.2,"1_Halbpeak","M1_20190823_132007",116.971518024802,4.74323401227593,20190823,1320,68.842831069258,49.5354461713813,"y"
"M1",24,"Spectrogram 1",1,1120.051441759,1123.059157259,358.5,900.3,3.0077,-34.32,12.64,"1_Halbend","M1_20190823_132007",116.971518024802,4.74323401227593,20190823,1320,62.2638875989804,51.7582098064433,"y"
"M1",43,"Spectrogram 1",1,1190.155218779,1194.643901599,580,1080.8,4.4887,-27.48,23.21,"2_Hfunstart","M1_20190823_132007",116.971518024802,4.74323401227593,20190823,1320,70.5776322054779,49.3928361251997,"y"
"M1",46,"Spectrogram 1",1,1194.688519279,1201.485279029,580,1526.5,6.7968,-30.04,23.43,"2_Hfuntrill","M1_20190823_132007",116.971518024802,4.74323401227593,20190823,1320,67.613756991391,51.0435700345662,"y"
"M1",56,"Spectrogram 1",1,1257.102321659,1264.295599259,589.6,1381.6,7.1933,-32.72,15.22,"2_Halbstart","M1_20190823_132007",116.971518024802,4.74323401227593,20190823,1320,63.8195081407862,51.8907716796209,"y"
"M1",57,"Spectrogram 1",1,1264.463863059,1269.133183659,748.9,1593.5,4.6693,-28.6,20.6,"2_Halbpeak","M1_20190823_132007",116.971518024802,4.74323401227593,20190823,1320,68.5517789956774,50.3343241744635,"y"
"M1",58,"Spectrogram 1",1,1269.520441759,1272.528157259,358.5,900.3,3.0077,-34.14,13.01,"2_Halbend","M1_20190823_132007",116.971518024802,4.74323401227593,20190823,1320,62.6873620707712,51.3095778240478,"y"
"M1",77,"Spectrogram 1",1,1339.586218779,1344.074901599,580,1080.8,4.4887,-27.4,23.12,"3_Hfunstart","M1_20190823_132007",116.971518024802,4.74323401227593,20190823,1320,70.7120842406802,48.9586566177332,"y"
"M1",80,"Spectrogram 1",1,1344.119519279,1350.916279029,580,1526.5,6.7968,-30.03,23.4,"3_Hfuntrill","M1_20190823_132007",116.971518024802,4.74323401227593,20190823,1320,67.6502218688588,50.6893092688564,"y"
"M1",90,"Spectrogram 1",1,1406.533321659,1413.726599259,589.6,1381.6,7.1933,-32.74,15.51,"3_Halbstart","M1_20190823_132007",116.971518024802,4.74323401227593,20190823,1320,63.9905275615302,50.838047033582,"y"
"M1",91,"Spectrogram 1",1,1413.894863059,1418.564183659,748.9,1593.5,4.6693,-28.46,20.29,"3_Halbpeak","M1_20190823_132007",116.971518024802,4.74323401227593,20190823,1320,68.7766620831248,48.638662781471,"y"
"M1",92,"Spectrogram 1",1,1418.951441759,1421.959157259,358.5,900.3,3.0077,-34.14,12.74,"3_Halbend","M1_20190823_132007",116.971518024802,4.74323401227593,20190823,1320,62.6319685807324,51.1438439449157,"y"
"M1",9,"Spectrogram 1",1,2268.236218779,2272.724901599,580,1080.8,4.4887,-27.63,23.27,"1_Hfunstart","M1_20190823_140007",116.971518024802,4.74323401227593,20190823,1400,70.4646530629023,48.7196522594982,"y"
"M1",12,"Spectrogram 1",1,2272.769519279,2279.566279029,580,1526.5,6.7968,-30.15,23.26,"1_Hfuntrill","M1_20190823_140007",116.971518024802,4.74323401227593,20190823,1400,67.5998132303617,49.7813620870538,"y"
"M1",22,"Spectrogram 1",1,2335.183321659,2342.376599259,589.6,1381.6,7.1933,-32.85,15.42,"1_Halbstart","M1_20190823_140007",116.971518024802,4.74323401227593,20190823,1400,63.910897164579,50.9583014676967,"y"
"M1",23,"Spectrogram 1",1,2342.544863059,2347.214183659,748.9,1593.5,4.6693,-28.82,20.44,"1_Halbpeak","M1_20190823_140007",116.971518024802,4.74323401227593,20190823,1400,68.5052935776965,48.3735421820428,"y"
"M1",24,"Spectrogram 1",1,2347.601441759,2350.609157259,358.5,900.3,3.0077,-34,12.68,"1_Halbend","M1_20190823_140007",116.971518024802,4.74323401227593,20190823,1400,62.6261085315738,51.8917862512379,"y"
"M1",43,"Spectrogram 1",1,2417.705218779,2422.193901599,580,1080.8,4.4887,-27.53,23.99,"2_Hfunstart","M1_20190823_140007",116.971518024802,4.74323401227593,20190823,1400,70.587543228398,48.6847493441401,"y"
"M1",46,"Spectrogram 1",1,2422.238519279,2429.035279029,580,1526.5,6.7968,-30.44,23.51,"2_Hfuntrill","M1_20190823_140007",116.971518024802,4.74323401227593,20190823,1400,67.2745871324969,49.7850681970695,"y"
"M1",56,"Spectrogram 1",1,2484.652321659,2491.845599259,589.6,1381.6,7.1933,-32.88,15.13,"2_Halbstart","M1_20190823_140007",116.971518024802,4.74323401227593,20190823,1400,64.0256685963784,50.034292185995,"y"
"M1",57,"Spectrogram 1",1,2492.013863059,2496.683183659,748.9,1593.5,4.6693,-28.79,20.83,"2_Halbpeak","M1_20190823_140007",116.971518024802,4.74323401227593,20190823,1400,68.499710369184,48.1801847172594,"y"
"M1",58,"Spectrogram 1",1,2497.070441759,2500.078157259,358.5,900.3,3.0077,-33.96,13.37,"2_Halbend","M1_20190823_140007",116.971518024802,4.74323401227593,20190823,1400,62.8885992007854,51.1773052653217,"y"
"M1",77,"Spectrogram 1",1,2567.136218779,2571.624901599,580,1080.8,4.4887,-27.58,23.85,"3_Hfunstart","M1_20190823_140007",116.971518024802,4.74323401227593,20190823,1400,70.5127645859851,48.7383508383919,"y"
"M1",80,"Spectrogram 1",1,2571.669519279,2578.466279029,580,1526.5,6.7968,-30.33,22.91,"3_Hfuntrill","M1_20190823_140007",116.971518024802,4.74323401227593,20190823,1400,67.4098103413338,49.7857863291298,"y"
"M1",90,"Spectrogram 1",1,2634.083321659,2641.276599259,589.6,1381.6,7.1933,-32.88,15.19,"3_Halbstart","M1_20190823_140007",116.971518024802,4.74323401227593,20190823,1400,63.9787540876467,50.5735672099516,"y"
"M1",91,"Spectrogram 1",1,2641.444863059,2646.114183659,748.9,1593.5,4.6693,-28.89,20.64,"3_Halbpeak","M1_20190823_140007",116.971518024802,4.74323401227593,20190823,1400,68.4171172490264,48.8550468171549,"y"
"M1",92,"Spectrogram 1",1,2646.501441759,2649.509157259,358.5,900.3,3.0077,-34.04,13.2,"3_Halbend","M1_20190823_140007",116.971518024802,4.74323401227593,20190823,1400,62.6895100600928,51.6373058539827,"y"
"M1",9,"Spectrogram 1",1,1122.236218779,1126.724901599,580,1080.8,4.4887,-28.64,23.57,"1_Hfunstart","M1_20190823_152008",116.971518024802,4.74323401227593,20190823,1520,69.3868379565795,48.8944154765622,"y"
"M1",12,"Spectrogram 1",1,1126.769519279,1133.566279029,580,1526.5,6.7968,-32.35,22.04,"1_Hfuntrill","M1_20190823_152008",116.971518024802,4.74323401227593,20190823,1520,65.0148962779605,50.0702683064254,"y"
